Date,Open,High,Low,Close,Adj Close,Volume
2023-01-31,27.780001,28.290001,27.530001,28.260000,27.919800,52621600
2023-02-01,27.889999,29.430000,27.680000,29.070000,28.720049,63330600
2023-02-02,29.250000,30.299999,28.799999,30.190001,29.826567,62230700
2023-02-03,29.620001,31.170000,29.530001,30.320000,29.955000,57603100
2023-02-06,29.549999,29.650000,28.610001,28.690001,28.690001,48726400
2023-02-07,28.650000,29.270000,28.430000,29.049999,29.049999,50780800
2023-02-08,28.950001,29.120001,28.209999,28.240000,28.240000,36479100
2023-02-09,28.680000,28.820000,27.570000,27.730000,27.730000,43906400
2023-02-10,27.629999,27.990000,27.340000,27.799999,27.799999,31232500
2023-02-13,27.870001,28.549999,27.719999,28.549999,28.549999,32347500
2023-02-14,28.379999,28.719999,27.990000,28.639999,28.639999,27928900
2023-02-15,28.360001,28.879999,28.160000,28.850000,28.850000,23359400
2023-02-16,28.500000,28.830000,28.129999,28.200001,28.200001,28972500
2023-02-17,28.000000,28.070000,27.379999,27.610001,27.610001,32086200
2023-02-21,27.110001,27.270000,26.040001,26.059999,26.059999,63668400
2023-02-22,25.910000,26.900000,25.299999,25.469999,25.469999,89195300
2023-02-23,25.780001,26.080000,25.320000,25.610001,25.610001,56473200
2023-02-24,25.219999,25.350000,24.920000,25.139999,25.139999,44089900
2023-02-27,25.549999,25.580000,24.879999,24.900000,24.900000,37657000
2023-02-28,24.940001,25.120001,24.730000,24.930000,24.930000,50255300
2023-03-01,25.030001,25.920000,24.969999,25.330000,25.330000,47823400
2023-03-02,25.209999,26.299999,25.120001,26.200001,26.200001,48309300
2023-03-03,26.200001,26.480000,26.010000,26.400000,26.400000,36744900
2023-03-06,26.469999,26.540001,25.930000,25.990000,25.990000,37879800
2023-03-07,25.840000,25.990000,25.500000,25.530001,25.530001,43164600
2023-03-08,25.559999,26.010000,25.450001,25.980000,25.980000,36071900
2023-03-09,25.980000,26.980000,25.969999,26.440001,26.440001,54886100
2023-03-10,26.549999,27.520000,26.320000,27.219999,27.219999,65187000
2023-03-13,26.740000,27.309999,26.610001,26.950001,26.950001,50977000
2023-03-14,27.350000,28.100000,27.250000,28.010000,28.010000,47689800
2023-03-15,27.730000,28.500000,27.660000,28.410000,28.410000,49322800
2023-03-16,28.389999,30.270000,28.389999,30.180000,30.180000,75779500
2023-03-17,29.920000,31.000000,29.440001,29.809999,29.809999,80628500
2023-03-20,29.799999,29.900000,28.629999,29.160000,29.160000,38780100
2023-03-21,29.000000,29.170000,27.980000,28.459999,28.459999,55650800
2023-03-22,28.480000,29.120001,28.100000,28.129999,28.129999,37415500
2023-03-23,28.379999,29.160000,28.219999,29.030001,29.030001,43785500
2023-03-24,29.040001,29.809999,28.930000,29.360001,29.360001,55912100
2023-03-27,29.370001,29.730000,29.080000,29.180000,29.180000,34758200
2023-03-28,29.080000,29.330000,28.629999,29.290001,29.290001,37407900
2023-03-29,29.770000,31.889999,29.760000,31.520000,31.520000,85556200
2023-03-30,31.850000,32.580002,31.809999,32.090000,32.090000,70077600
2023-03-31,31.799999,32.900002,31.730000,32.669998,32.669998,59740100
2023-04-03,32.939999,33.560001,32.540001,32.889999,32.889999,57038300
2023-04-04,32.849998,33.840000,32.840000,33.099998,33.099998,55714100
2023-04-05,32.799999,32.990002,32.340000,32.830002,32.830002,39615700
2023-04-06,32.599998,33.000000,32.459999,32.810001,32.810001,28551900
2023-04-10,32.599998,32.759998,32.200001,32.520000,32.520000,30534400
2023-04-11,32.660000,33.110001,32.320000,32.349998,32.349998,27059100
2023-04-12,32.770000,32.889999,31.959999,32.020000,32.020000,37070800
2023-04-13,31.820000,32.430000,31.650000,32.130001,32.130001,29722300
